day,hour,temperature,wind,sharedbikes
16,7,100,185,1619
16,8,100,180,3589
16,9,105,195,1844
16,10,100,165,603
16,11,100,230,621
16,12,100,240,841
16,13,90,195,884
16,14,90,220,796
16,15,80,230,904
16,16,80,215,1319
16,17,80,190,2723
16,18,75,180,2509
16,19,70,200,1457
16,20,70,170,941
16,21,65,170,550
16,22,60,140,433
16,23,60,150,214
17,0,55,140,133
17,1,50,150,69
17,2,50,140,30
17,3,50,120,33
17,4,50,120,43
17,5,55,130,88
17,6,60,120,571
17,7,60,150,1913
17,8,55,150,3835
17,9,65,150,1900
17,10,70,180,874
17,11,80,190,763
17,12,90,170,999
17,13,90,195,977
17,14,90,190,866
17,15,80,160,976
17,16,80,110,1346
17,17,80,70,2724
17,18,80,110,2750
17,19,80,220,1539
17,20,80,195,1001
17,21,80,180,642
17,22,70,150,566
17,23,70,180,362
18,0,70,195,190
18,1,70,230,78
18,2,70,220,57
18,3,70,250,59
18,4,80,220,39
18,5,80,230,99
18,6,90,240,575
18,7,90,240,1536
18,8,100,240,3576
18,9,100,290,1788
18,10,105,325,522
18,11,105,400,558
18,12,75,415,624
18,13,65,380,629
18,14,70,370,665
18,15,65,370,823
18,16,60,340,1269
18,17,55,335,2426
18,18,50,315,2377
18,19,50,260,1413
18,20,40,270,854
18,21,40,290,652
18,22,40,290,451
18,23,35,280,276
19,0,30,260,122
19,1,30,300,106
19,2,30,300,34
19,3,30,295,38
19,4,30,280,33
19,5,30,280,76
19,6,30,220,529
19,7,30,210,1760
19,8,30,240,3783
19,9,45,260,1905
19,10,55,270,811
19,11,60,350,700
19,12,60,305,889
19,13,65,315,894
19,14,65,315,757
19,15,45,285,580
19,16,40,250,922
19,17,30,205,1984
19,18,30,195,2076
19,19,30,260,1237
19,20,30,260,770
19,21,25,230,525
19,22,25,240,430
19,23,30,250,314
20,0,30,240,190
20,1,30,220,80
20,2,30,170,79
20,3,35,170,60
20,4,40,195,45
20,5,30,150,74
20,6,30,90,426
20,7,25,90,1388
20,8,20,185,3090
20,9,20,160,1667
20,10,25,160,766
20,11,40,185,762
20,12,55,200,967
20,13,60,230,923
20,14,60,210,849
20,15,60,195,911
20,16,60,165,1452
20,17,55,170,2350
20,18,55,195,1940
20,19,45,140,1131
20,20,50,170,734
20,21,40,165,506
20,22,30,160,384
20,23,30,180,397
21,0,10,130,124
21,1,10,120,64
21,2,0,130,40
21,3,-10,160,77
21,4,-10,130,37
21,5,0,120,72
21,6,-5,140,407
21,7,0,160,1543
21,8,5,120,3556
21,9,15,150,1704
21,10,20,160,737
21,11,20,170,686
21,12,25,140,765
21,13,30,140,817
21,14,30,160,761
21,15,30,140,766
21,16,30,150,1185
21,17,20,110,2534
21,18,20,110,2476
21,19,20,90,1394
21,20,15,80,842
21,21,10,70,508
21,22,10,80,343
21,23,5,70,202
22,0,10,80,94
22,1,10,90,64
22,2,10,90,27
22,3,10,65,20
22,4,10,65,21
22,5,10,65,63
22,6,10,80,356
22,7,10,90,1364
22,8,10,150,2972
22,9,10,130,1611
22,10,20,110,663
22,11,25,130,575
22,12,30,175,775
22,13,40,170,780
22,14,40,170,706
22,15,40,170,771
22,16,40,150,1178
22,17,40,150,2301
22,18,30,110,2236
22,19,30,110,1339
22,20,20,130,795
22,21,20,120,571
22,22,25,110,383
22,23,20,130,204
23,0,20,110,105
23,1,20,80,68
23,2,15,80,47
23,3,10,70,42
23,4,10,120,25
23,5,10,130,86
23,6,20,100,493
23,7,20,120,1696
23,8,20,120,3502
23,9,20,150,1806
23,10,25,180,758
23,11,35,180,656
23,12,40,190,857
23,13,40,160,813
23,14,45,180,768
23,15,50,180,738
23,16,50,160,1136
23,17,40,190,2432
23,18,40,190,2306
23,19,40,150,1356
23,20,30,150,827
23,21,30,130,596
23,22,30,120,443
23,23,30,150,294
24,0,25,130,140
24,1,20,130,84
24,2,25,140,59
24,3,30,150,33
24,4,30,140,44
24,5,30,170,100
24,6,25,200,472
24,7,20,160,1433
24,8,20,110,2894
24,9,20,130,1635
24,10,25,140,665
24,11,30,130,563
24,12,40,170,789
24,13,50,170,891
24,14,50,195,748
24,15,50,210,828
24,16,45,205,1259
24,17,30,185,2483
24,18,30,160,2402
24,19,20,160,1316
24,20,20,170,875
24,21,20,160,642
24,22,20,170,512
24,23,20,160,333
25,0,15,160,215
25,1,15,160,105
25,2,10,170,67
25,3,10,150,48
25,4,10,185,40
25,5,20,190,83
25,6,20,190,431
25,7,20,200,1460
25,8,20,220,3214
25,9,25,210,1734
25,10,30,195,815
25,11,40,210,705
25,12,45,260,1036
25,13,50,270,989
25,14,50,250,836
25,15,50,220,919
25,16,45,240,1360
25,17,40,205,2267
25,18,30,160,1777
25,19,25,170,1081
25,20,20,170,579
25,21,20,160,425
25,22,20,150,456
25,23,15,130,313
26,0,30,165,122
26,1,25,110,50
26,2,40,160,36
26,3,40,110,21
26,4,45,130,39
26,5,50,100,79
26,6,50,65,479
26,7,50,110,1730
26,8,50,65,3721
26,9,50,100,1729
26,10,60,110,773
26,11,70,140,736
26,12,80,140,993
26,13,85,110,1003
26,14,90,110,921
26,15,95,90,980
26,16,95,70,1431
26,17,85,60,2850
26,18,65,50,2577
26,19,60,50,1482
26,20,50,75,880
26,21,40,50,604
26,22,30,20,410
26,23,35,20,212
27,0,35,30,128
27,1,40,40,58
27,2,40,50,47
27,3,40,40,21
27,4,40,20,35
27,5,45,20,105
27,6,45,20,552
27,7,50,60,1911
27,8,50,50,3788
27,9,55,75,1918
27,10,60,90,855
27,11,65,65,719
27,12,70,30,933
27,13,70,20,954
27,14,70,50,876
27,15,70,70,955
27,16,65,90,1386
27,17,65,100,2671
27,18,60,120,2586
27,19,60,110,1453
27,20,60,90,861
27,22,60,140,464
27,23,50,110,283
28,0,50,120,134
28,1,50,90,61
28,2,50,100,44
28,3,50,110,38
28,4,50,90,25
28,5,50,90,81
28,6,50,80,519
28,7,50,80,1796
28,8,55,80,3671
28,9,50,80,1840
28,10,55,90,841
28,11,50,70,698
28,12,50,70,924
28,13,50,50,899
28,14,50,20,805
28,15,50,30,898
28,16,50,60,1347
28,17,50,70,2575
28,18,50,70,2441
28,19,50,65,1473
28,20,50,65,884
28,21,50,70,748
28,22,50,75,595
28,23,50,110,343
29,0,40,70,201
29,1,40,65,91
29,2,40,50,63
29,3,40,70,42
29,4,40,60,51
29,5,40,60,100
29,6,40,70,525
29,7,40,65,1825
29,8,40,60,3729
29,9,40,20,1849
29,10,40,50,781
29,11,40,50,692
29,12,40,60,894
29,13,45,65,890
29,14,40,90,806
29,15,45,90,828
29,16,50,120,1234
29,17,40,100,2423
29,18,40,100,2434
29,19,40,110,1350
29,20,40,60,911
29,21,35,80,637
29,22,30,65,492
29,23,30,100,379
30,0,25,110,218
30,1,35,65,114
30,2,40,140,74
30,3,50,130,37
30,4,50,150,43
30,5,60,190,81
30,6,60,185,407
30,7,65,190,1450
30,8,75,195,3205
30,9,80,185,1743
30,10,80,195,864
30,11,90,230,777
30,12,90,220,971
30,13,85,260,580
30,14,80,230,418
30,15,80,250,408
30,16,90,180,979
30,17,90,170,2008
30,18,85,210,1274
30,19,70,240,657
30,20,75,130,540
30,21,80,150,388
30,22,70,130,276
30,23,70,140,187
31,0,30,80,134
31,1,25,70,50
31,2,20,75,31
31,3,25,70,31
31,4,40,100,31
31,5,40,90,81
31,6,40,70,441
31,7,50,100,1572
31,8,55,80,3323
31,9,65,80,1637
31,10,80,130,778
31,11,90,160,752
31,12,90,150,842
31,13,90,110,670
31,14,90,90,442
31,15,80,70,304
31,16,80,70,589
31,17,80,50,1374
31,18,75,65,1196
31,19,65,170,748
31,20,60,100,452
31,21,60,90,372
31,22,60,110,325
31,23,60,160,206
32,0,55,170,102
32,1,50,140,47
32,2,45,130,44
32,3,40,130,25
32,4,40,130,30
32,5,40,140,91
32,6,40,130,506
32,7,40,120,1751
32,8,40,140,3582
32,9,50,170,1697
32,10,65,130,889
32,11,70,150,835
32,12,80,120,1156
32,13,80,160,1202
32,14,80,180,1063
32,15,90,160,1143
32,16,80,110,1623
32,17,80,75,2758
32,18,65,60,2574
32,19,60,40,1568
32,20,65,80,876
32,21,55,80,667
32,22,50,90,502
32,23,45,90,333
33,0,40,100,158
33,1,40,100,86
33,2,35,80,30
33,3,35,90,23
33,4,30,75,37
33,5,30,80,86
33,6,30,70,509
33,7,35,80,1717
33,8,45,80,3582
33,9,75,180,1789
33,10,85,195,963
33,11,90,210,853
33,12,100,210,1225
33,13,100,205,1171
33,14,105,180,1177
33,15,90,210,1195
33,16,85,205,1535
33,17,80,195,2651
33,18,75,215,2492
33,19,70,210,1444
33,20,70,160,933
33,21,70,180,622
33,22,60,160,529
33,23,60,170,325
34,0,60,180,163
34,1,60,195,109
34,2,50,205,66
34,3,50,195,39
34,4,60,195,50
34,5,60,180,70
34,6,60,160,496
34,7,60,190,1679
34,8,70,185,3559
34,9,80,270,1747
34,10,85,260,833
34,11,90,290,710
34,12,85,260,892
34,13,80,270,656
34,14,80,260,355
34,15,80,260,350
34,16,80,260,635
34,17,80,220,1229
34,18,80,195,1271
34,19,80,220,740
34,20,80,180,420
34,21,80,160,347
34,22,75,140,276
34,23,80,140,206
35,0,80,130,134
35,1,80,140,75
35,2,75,100,34
35,3,75,160,32
35,4,75,150,29
35,5,70,130,76
35,6,70,160,398
35,7,65,90,1333
35,8,60,55,3051
35,9,70,20,1631
35,10,70,20,776
35,11,70,20,800
35,12,70,30,994
35,13,70,90,1011
35,14,70,110,927
35,15,70,120,1002
35,16,70,110,1293
35,17,70,90,2241
35,18,60,70,1825
35,19,55,80,1102
35,20,50,85,676
35,21,50,100,478
35,22,50,90,407
35,23,50,110,390
36,0,95,320,91
36,1,90,250,36
36,2,80,230,19
36,3,70,185,22
36,4,65,140,23
36,5,60,140,94
36,6,60,160,503
36,7,60,200,1682
36,8,65,210,3618
36,9,70,290,1760
36,10,75,260,746
36,11,85,280,616
36,12,85,295,776
36,13,85,340,771
36,14,85,305,686
36,15,70,285,803
36,16,70,380,1272
36,17,60,325,2626
36,18,60,230,2470
36,19,50,215,1332
36,20,50,250,794
36,21,60,300,539
36,22,60,305,324
36,23,55,315,161
37,0,60,290,105
37,1,65,295,47
37,2,60,330,27
37,3,60,320,16
37,4,60,315,29
37,5,50,230,98
37,6,50,205,559
37,7,50,220,1998
37,8,60,200,3841
37,9,75,230,1819
37,10,95,320,830
37,11,90,310,725
37,12,90,320,882
37,13,90,310,946
37,14,90,285,781
37,15,95,390,914
37,16,90,345,1353
37,17,85,275,2641
37,18,80,250,2522
37,19,75,200,1392
37,20,70,220,840
37,21,65,205,605
37,22,60,230,434
37,23,60,185,284
38,0,60,150,162
38,1,60,110,69
38,2,70,130,58
38,3,70,140,34
38,4,70,90,31
38,5,70,90,70
38,6,70,90,341
38,7,75,110,1120
38,8,80,150,2617
38,9,85,140,1443
38,10,90,180,747
38,11,100,160,726
38,12,100,140,911
38,13,105,120,1040
38,14,115,150,898
38,15,110,120,988
38,16,110,65,1452
38,17,110,40,2651
38,18,110,65,2424
38,19,110,65,1394
38,20,110,80,899
38,21,100,90,637
38,22,100,80,538
38,23,100,110,342
39,0,100,160,143
39,1,110,140,108
39,2,100,150,68
39,3,100,150,39
39,4,100,130,31
39,5,100,150,101
39,6,100,150,549
39,7,100,160,1822
39,8,100,170,3628
39,9,110,215,1793
39,10,110,220,662
39,11,110,190,269
39,12,110,170,274
39,13,120,200,297
39,14,100,215,371
39,15,90,215,680
39,16,90,150,1116
39,17,85,220,2354
39,18,80,160,2192
39,19,75,185,1349
39,20,65,160,746
39,21,60,140,617
39,22,55,140,465
39,23,50,120,362
40,0,50,160,169
40,1,45,170,122
40,2,40,140,70
40,3,40,150,51
40,4,30,160,43
40,5,30,170,81
40,6,25,120,474
40,7,30,130,1664
40,8,35,140,3398
40,9,55,140,1841
40,10,65,180,1046
40,11,75,140,913
40,12,80,160,1236
40,13,90,170,1204
40,14,90,170,1191
40,15,90,185,1309
40,16,90,130,1568
40,17,80,120,2616
40,18,80,100,2030
40,19,75,130,1187
40,20,65,120,761
40,21,60,120,504
40,22,55,110,462
40,23,50,120,427
41,0,50,160,97
41,1,50,190,49
41,2,40,185,29
41,3,40,220,19
41,4,40,240,33
41,5,40,240,78
41,6,40,195,496
41,7,50,240,1798
41,8,60,305,3573
41,9,60,340,1600
41,10,70,350,772
41,11,70,445,642
41,12,80,455,769
41,13,85,400,809
41,14,90,380,736
41,15,90,350,897
41,16,85,335,1317
41,17,80,315,2739
41,18,70,275,2470
41,19,60,210,1410
41,20,55,260,844
41,21,50,250,514
41,22,50,250,360
41,23,50,205,207
42,0,50,220,102
42,1,50,220,53
42,2,50,170,32
42,3,50,90,30
42,4,50,110,38
42,5,60,180,79
42,6,55,220,574
42,7,50,160,1997
42,8,65,185,3818
42,9,70,200,1701
42,10,80,260,805
42,11,90,270,725
42,12,85,315,919
42,13,90,280,885
42,14,95,330,880
42,15,90,255,937
42,16,80,260,1417
42,17,75,285,2753
42,18,70,280,2488
42,19,65,250,1496
42,20,60,270,810
42,21,50,260,592
42,22,50,240,426
42,23,50,220,288
43,0,45,230,135
43,1,40,230,95
43,2,40,230,46
43,3,40,180,24
43,4,40,190,22
43,5,40,195,97
43,6,35,210,556
43,7,45,210,1929
43,8,55,240,3803
43,9,65,265,1787
43,10,70,295,831
43,11,80,260,755
43,12,90,260,1000
43,13,90,240,1055
43,14,100,260,863
43,15,100,240,957
43,16,100,200,1460
43,17,90,185,2761
43,18,90,160,2524
43,19,80,130,1476
43,20,75,90,907
43,21,70,130,607
43,22,65,100,490
43,23,60,120,305
44,0,60,120,170
44,1,45,110,93
44,2,40,90,60
44,3,35,110,39
44,4,30,110,36
44,5,30,120,86
44,6,30,110,600
44,7,35,120,1947
44,8,55,140,3807
44,9,70,150,1894
44,10,80,170,908
44,11,95,170,783
44,12,100,180,1133
44,13,110,205,1001
44,14,115,195,1007
44,15,115,200,1055
44,16,110,205,1406
44,17,105,205,2680
44,18,100,170,2503
44,19,90,200,1360
44,20,90,210,816
44,21,90,250,640
44,22,90,240,501
44,23,80,225,371
45,0,80,220,227
45,1,80,170,126
45,2,80,150,74
45,3,80,190,56
45,4,80,150,57
45,5,75,140,88
45,6,70,130,491
45,7,70,90,1751
45,8,75,120,3548
45,9,85,195,1788
45,10,100,220,940
45,11,110,230,944
45,12,120,210,1234
45,13,120,260,1318
45,14,130,230,1252
45,15,120,240,1292
45,16,115,220,1825
45,17,105,200,2879
45,18,90,185,2111
45,19,85,185,1220
45,20,80,140,747
45,21,80,160,553
45,22,80,100,453
45,23,75,70,363
46,0,70,20,126
46,1,60,65,79
46,2,55,80,33
46,3,50,70,20
46,4,50,60,31
46,5,50,50,80
46,6,50,70,519
46,7,60,95,1972
46,8,75,110,3886
46,9,90,170,1794
46,10,90,185,807
46,11,90,190,770
46,12,95,180,875
46,13,100,210,962
46,14,100,200,843
46,15,100,180,908
46,16,100,195,1378
46,17,100,205,2841
46,18,100,220,2562
46,19,100,200,1467
46,20,100,190,828
46,21,110,150,640
46,22,110,170,382
46,23,100,170,234
47,0,100,195,127
47,1,95,160,59
47,2,85,160,37
47,3,80,140,14
47,4,75,130,30
47,5,70,100,86
47,6,70,65,614
47,7,70,80,2179
47,8,80,120,4033
47,9,90,190,1944
47,10,90,150,950
47,11,100,90,903
47,12,110,65,1144
47,13,120,50,1140
47,14,120,50,1146
47,15,115,55,1277
47,16,115,70,1754
47,17,110,100,3220
47,18,100,65,2860
47,19,95,70,1634
47,20,75,95,948
47,21,65,120,723
47,22,60,130,548
47,23,50,100,304
48,0,50,70,144
48,1,50,70,78
48,2,45,60,56
48,3,40,85,28
48,4,40,80,42
48,5,45,130,117
48,6,45,80,606
48,7,50,110,2064
48,8,60,120,4053
48,9,85,150,1965
48,10,95,210,1027
48,11,115,195,909
48,12,125,160,1197
48,13,130,175,1221
48,14,130,180,1105
48,15,130,150,1235
48,16,130,120,1629
48,17,125,130,2840
48,18,115,90,2773
48,19,110,65,1621
48,20,105,70,1017
48,21,100,65,679
48,22,90,60,629
48,23,90,70,384
49,0,90,60,205
49,1,90,65,95
49,2,80,80,82
49,3,75,100,31
49,4,60,90,30
49,5,60,100,101
49,6,55,65,614
49,7,75,80,2136
49,8,95,130,4125
49,9,110,170,2055
49,10,120,210,1008
49,11,130,220,958
49,12,130,260,1260
49,13,140,210,1282
49,14,130,220,1192
49,15,130,180,1258
49,16,120,190,1681
49,17,110,120,3035
49,18,105,110,2720
49,19,100,150,1567
49,20,100,90,989
49,21,100,110,720
49,22,100,130,580
49,23,95,120,407
50,0,90,150,264
50,1,90,160,134
50,2,90,140,93
50,3,85,90,54
50,4,80,140,57
50,5,75,120,111
50,6,70,110,532
50,7,70,80,1764
50,8,85,110,3609
50,9,95,195,1948
50,10,105,260,941
50,11,110,280,952
50,12,110,295,1235
50,13,110,305,1255
50,14,110,260,1164
50,15,110,250,1186
50,16,105,195,1692
50,17,100,180,2927
50,18,80,200,2256
50,19,70,195,1229
50,20,60,170,816
50,21,55,130,559
50,22,45,110,451
50,23,40,140,471
51,0,60,120,117
51,1,60,100,69
51,2,55,70,36
51,3,60,75,14
51,4,60,45,19
51,5,60,90,68
51,6,60,80,427
51,7,60,90,1025
51,8,65,140,1984
51,9,70,150,1487
51,10,75,160,654
51,11,85,200,607
51,12,90,200,897
51,13,90,210,855
51,14,90,190,758
51,15,90,195,857
51,16,80,195,1312
51,17,75,195,2760
51,18,70,205,2526
51,19,70,180,1379
51,20,65,140,818
51,21,60,100,554
51,22,70,85,372
51,23,60,70,229
52,0,60,80,103
52,1,60,80,80
52,2,60,70,47
52,3,60,65,39
52,4,60,100,42
52,5,60,110,90
52,6,60,30,567
52,7,70,65,1950
52,8,70,110,3734
52,9,70,100,1798
52,10,75,75,880
52,11,85,65,793
52,12,95,80,1081
52,13,120,140,1045
52,14,120,140,979
52,15,120,130,1186
52,16,120,110,1582
52,17,115,120,2942
52,18,110,110,2849
52,19,100,130,1622
52,20,100,150,888
52,21,90,140,688
52,22,85,140,476
52,23,70,110,319
53,0,65,65,174
53,1,60,65,86
53,2,50,65,47
53,3,50,65,46
53,4,50,70,27
53,5,50,70,83
53,6,50,110,597
53,7,40,120,2025
53,8,45,110,3889
53,9,55,140,1923
53,10,65,130,944
53,11,85,150,855
53,12,90,150,1138
53,13,90,170,1195
53,14,90,180,1078
53,15,80,170,1106
53,16,90,170,1569
53,17,90,110,2961
53,18,90,150,2636
53,19,80,160,1572
53,20,80,120,904
53,21,70,110,737
53,22,70,160,502
53,23,70,120,345
54,0,70,110,157
54,1,70,110,120
54,2,70,110,71
54,3,70,140,50
54,4,70,160,37
54,5,70,170,97
54,6,70,170,584
54,7,70,180,1939
54,8,70,180,3787
54,9,70,160,1841
54,10,70,170,839
54,11,70,140,738
54,12,75,150,953
54,13,80,150,891
54,14,80,140,860
54,15,80,160,903
54,16,80,170,1418
54,17,80,150,2648
54,18,80,130,2461
54,19,80,160,1393
54,20,70,160,808
54,21,70,160,642
54,22,65,140,494
54,23,60,150,346
55,0,60,140,97
55,1,55,140,39
55,2,60,150,57
55,3,60,120,56
55,4,50,120,46
55,5,50,120,82
55,6,50,120,472
55,7,50,90,1636
55,8,50,110,3515
55,9,50,75,1759
55,10,50,80,889
55,11,60,40,832
55,12,65,55,1128
55,13,90,70,1257
55,14,100,50,1223
55,15,105,65,1363
55,16,115,50,1918
55,17,110,75,2970
55,18,105,90,2274
55,19,100,90,1247
55,20,90,110,828
55,21,90,110,532
55,22,95,100,494
55,23,100,195,512
56,0,35,50,144
56,1,30,60,79
56,2,30,65,47
56,3,30,80,31
56,4,35,65,44
56,5,45,100,81
56,6,50,140,569
56,7,65,150,1948
56,8,75,180,3719
56,9,85,185,1777
56,10,95,195,910
56,11,100,160,844
56,12,110,150,1114
56,13,115,140,1153
56,14,120,140,1017
56,15,110,130,1109
56,16,110,100,1519
56,17,105,110,3044
56,18,105,100,2819
56,19,100,120,1483
56,20,100,140,929
56,21,90,110,554
56,22,90,80,402
56,23,90,110,256
57,0,90,110,134
57,1,80,120,74
57,2,80,160,32
57,3,65,120,27
57,4,65,70,34
57,5,70,75,98
